name,description,director,actors,year,cover,original_name,url,genres_ids
Snow White  A Tale of Terror,Snow White  A Tale of Terror,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2279.jpg,Snow White  A Tale of Terror,http://5.135.130.33:8800/vid.php?h=aDhmeUoyRXVJMTFOOUUrVW9uYWNmU3hCcnZpSzN5alNxL2FPWmVRVzlMVVM0b29QVDJzTlFoODQvZUpUU0NBeTBzRzcySmpMT01mTXdxWkpwcVlST2c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=cc12650cf213b7c094ddfff201438d35febea9b751e4&v=english_Snow-White-A-Tale-of-Terror_20170324033921.mp4,Action
Southbound,Southbound,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2280.jpg,Southbound,http://5.135.130.33:8800/vid.php?h=TGZxSkp4cDV1WGJ6UzBpOXdPWDhCWS9tYUViWldsSlBHSHlzeFBSRU9WWUtlaWo1TlUzUFBGM2kyWSt4VVdZaVl6L0tsY3o0RVM1Z0V5cXdBRmt4Z3c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1e142f41f38644ed928f8961778a2c30251d81cc7dbb&v=english_Southbound_20170324034208.mp4,Action
Underworld  Blood Wars,Underworld  Blood Wars,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2281.jpg,Underworld  Blood Wars,http://5.135.130.33:8800/vid.php?h=NFlwNUFKZU1OaUdXL0RjRHRHTnAwUWNvMVNCbU9OQnRXUzlvZVhFMUpTQUlSMU5ILytqTTllS0tFUWxyOUgyVWtVczlsY3Y3MXhpNGlCTks0a1FDR2c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=e477938a6d199df3ec34fda94bcbaec513e1cb21d6a5&v=english_Underworld-Blood-Wars_20170324034641.mp4,Action
Southside with You,Southside with You,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2282.jpg,Southside with You,http://5.135.130.33:8800/vid.php?h=ck5neklLaEt4WE9OYWdlb1RINzJuSFg2eDlJN0pSWS9OeE8rRnphNmR5Uksxb21hYkZGd1g3bHltRVVlbkpIa3lnVUsrbUsyQkdtbjZFSUVpMWlGUWc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1fe07aa08708cfd76916bc58ddc676f1c7cdc33e1f3f&v=english_Southside-with-You_20170324175915.mp4,Action
Space Junk 3D,Space Junk 3D,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2283.jpg,Space Junk 3D,http://5.135.130.33:8800/vid.php?h=Z01qekhDa2FGU0wxanJEQ1dUMGNna0JpYzBNZG5ndTZNbzE4dHRlQithSmVqZ2lKeDBhNjFVdTRxbGxSNEp2eVJiazUwOGU5RHRCc2xJRlErQmVxVEE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=47ee24fb931155a0e3dff654c15fafbf9adc7a35b1f8&v=english_Space-Junk-3D_20170324180514.mp4,Action
Spanglish,Spanglish,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2284.jpg,Spanglish,http://5.135.130.33:8800/vid.php?h=VUVodmlCZDB1RWNOUEFkbmUrSzFEWE1yenVQMkRUNjBOY2JUM0hiYURyQ0k2Z2FoTTM1c1B1SHgySUlrNFBWVmVyVHZOaHBkOHFoZFArWDBYVEZ5aUE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=1b4e7ee228abde98e7c6740d346a40c8681cb8fab263&v=english_Spanglish_20170324180701.mp4,Action
Spawn,Spawn,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2285.jpg,Spawn,http://5.135.130.33:8800/vid.php?h=TXhuSngwSUhyd3gxVlUwTHYyc0FNSjVaWUFGeEtEMGdiMVBxOEVEby9UYXJFeDRPL2FSVG5SN0xUN1RyMGpUOE5HbzQvQmpqYUFvTGlBbUk5L2lTL1E9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=934d4248403f04f6d74c69b16c8542d94c8965a15978&v=english_Spawn_20170324180851.mp4,Action
Star Trek Beyond,Star Trek Beyond,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2286.jpg,Star Trek Beyond,http://5.135.130.33:8800/vid.php?h=cEtEZHhCVU5aMW81Y0xpVzF1cXliUkMwSVBRM0VPNFJ2QUhISW14cWRmZGtVSnpiM3JpY3hwUHVEVmRucFpvTmE1Z0xnRE4xWGlvdS8vTFJXNE1QY1E9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=72f674a73da4bda50738f0ef4162740a3607849ce7de&v=english_Star-Trek-Beyond_20170324181724.mp4,Action
Starter for 10,Starter for 10,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2287.jpg,Starter for 10,http://5.135.130.33:8800/vid.php?h=QXEreFo1NnVGT0dRREdDeFdkTGlJemI0R0FSQkxKMkVuc2tzSURtMGJoV01vTU5BUnhUQUk0RXV4K0pwUnFyUzhjUnkwaFp6TnArUHNFRzZJb3VCUGc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=8fa54c7acbdead6eb1c876f2cd5535dac4eeadb37e74&v=english_Starter-for-10_20170324182843.mp4,Action
Steve McQueen  The Man &amp; Le Mans,Steve McQueen  The Man &amp; Le Mans,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2288.jpg,Steve McQueen  The Man &amp; Le Mans,http://5.135.130.33:8800/vid.php?h=VGpuVU1Ib0xObHkvMk4rQ0ZwNndac21rOWpmdTBvRW9GM3ZVQXUyem1OaXZDQ1NjTVRQa1QyMkNERnNLV2ZsLzVTSWdDZG9ZV2JwL0MreGVwSGNrVUE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=db9e749e4e2813448b5685012db9950c6c10aa071774&v=english_Steve-McQueen-The-Man--Le-Mans_20170324185422.mp4,Action
Stick Man,Stick Man,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2289.jpg,Stick Man,http://5.135.130.33:8800/vid.php?h=ZUcwWmRLZkZ2aGNnc3dOZlJ2N3RTckZvUkNYTjFnTkV2VUxyYitXc2JWT3VoL25LaFNkRDJVZlBualpodUZuRlJiNjk3WHBxT0pSSnhnV2dGd3JtNGc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=2676cd8bf34e3d33745b2265b409edc1808d2279ede4&v=english_Stick-Man_20170325023625.mp4,Action
Storks,Storks,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2290.jpg,Storks,http://5.135.130.33:8800/vid.php?h=cVh1Ym9kWWZORzJOd1pqWWExeWdaMVV2UjhmMzhwZk1TMU1JWDBRUG9aSmQyM0JNZUZsR0tWb2N6dmtpN3g5WTdTK3NlMVlnMFc5aUFvdnptZVhPYVE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=a8edf2727468d0ccb8b301a3e04f3244f9c2a7a7b345&v=english_Storks_20170325024417.mp4,Action
Stormhouse,Stormhouse,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2291.jpg,Stormhouse,http://5.135.130.33:8800/vid.php?h=a2dqcUxmNHIyaXNjWTlaMjJwRERqdUhRRXlDUW5vZWhqWkU1cW1JT0ZEMEh0RGc5amQ0bDQxRG9RNER0b2NNMmdrR3NIVGNQNWlYbVpyUHNTSnRKOWc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=836d5ce3b000f8787023c81d8399a57853af497bc953&v=english_Stormhouse_20170325024609.mp4,Action
Street,Street,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2292.jpg,Street,http://5.135.130.33:8800/vid.php?h=dS80QkVZbXkvY3RUb01Ec210TGZjanIrYmtRNE1RTkVoZlpLM3VoeENHdFhRSi9wdENWK1VCeU5BSWU5MCtEQWdQcmFwQ1ZINWoxNHF6RzhCeDJ5OXc9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=84ad974394ed270ecad978796bfc359e416549d7c730&v=english_Street_20170325024725.mp4,Action
Striptease,Striptease,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2293.jpg,Striptease,http://5.135.130.33:8800/vid.php?h=ZXpGSThIT1puenJvZGZueG5RWjY1RkNLTlNaeklqTTU5Z3doVTd6Z2RrUjkzdDJpbEwxSUNOYTlNZlRBeTNuMmg3OFpRUStiSzBTTStNakpIdkFhTkE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=d3bf98491c0f683092fb10047aebefccea16e6964a5e&v=english_Striptease_20170325025058.mp4,Action
Stuart Little,Stuart Little,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2294.jpg,Stuart Little,http://5.135.130.33:8800/vid.php?h=a0NVODQ3dEQ0M2dlS1N5OE9YWDdpSGIyRVl1U2VpUmJLeXgwV3ljUmZZckF0T3BWYXRvMjN1dUVHdFFQeExRQmlKbU5CUnU4aEt1VTc0cWV6b29tL3c9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=550b0fa5f225ba2e4651e1f24e1e348472cfe046665f&v=english_Stuart-Little_20170325025228.mp4,Action
Sugar Babies,Sugar Babies,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2295.jpg,Sugar Babies,http://5.135.130.33:8800/vid.php?h=TEhWYzFxWkRGNmtkR2o3K1doN1E3RUwrQnRTc0RQWml4ZUpiNzFxQ1g1ejlhdTNiSVJ6a1I5cHF5Y1ZGVGx5b1V3WjREa2RpNTNQOXdGenNSWUgzblE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=596126dc6f50d98098a558f867bba02deef56b7a4a51&v=english_Sugar-Babies_20170325025449.mp4,Action
Suicide Squad,Suicide Squad,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2296.jpg,Suicide Squad,http://5.135.130.33:8800/vid.php?h=UEJQTmRkV29DU0FDRU9CVUd0Z3FGLzl1cFVyRGRhVmx0L2pTL2NRYitkcEdWM2tGeWltREcxN1lQaTZFYmt3eTg3T3Q3T0hNK2xTWEh2MEU0R0J6YUE9PQ%3D%3D&t=MTUyMjg3OTY4MQ%3D%3D&z=cea6d982d55c5813f415fc48f51c43fee631f9c06dd7&v=english_Suicide-Squad_20170325025635.mp4,Action
Rise of the Black Bat,Rise of the Black Bat,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2253.jpg,Rise of the Black Bat,http://5.135.130.33:8800/vid.php?h=K1RTUEs5RGVMcDNadTBNMzN3cXlTOGk4b2VhcUZ5UDcyM0w2dmpnSVA5Skw5N0dSMUFVZU9pSjFDYVRQSVJJZnhpd2tLNTJCT2J1cGF2TVJZeHdzb3c9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=be22f4a60433a1613bf71d1641500f8bd83c4c341adf&v=english_Rise-of-the-Black-Bat_20170323172541.mp4,Action
River,River,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2254.jpg,River,http://5.135.130.33:8800/vid.php?h=UnBpV3I2VFg0L2EzLzBtZ056R25SSFpvT0JRTXE4RFMyRHNibExpM05KSzlMSHRDVnpLNnlpWnFpRzJrS3YrRUJ3Q2t6dlVLUG9uNXVGd2d4VzhDZUE9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=714781342d49f0cbe5c06aff572f2215dc9d4426530b&v=english_River_20170323172740.mp4,Action
Road House,Road House,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2255.jpg,Road House,http://5.135.130.33:8800/vid.php?h=b1crcTdKWlFlQjNnWlJjMEVuemFSbjlwVHpmS01uRE5WOW1kSU5BN3BwUnIwUHVSWmF4U2tobFk0M05IR3FWZkZodVFENGVpb2pSYmZsSFRpVXc4UkE9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=b5f796ed150bc588067ed7eeecb7fefd8f40ea28d2cc&v=english_Road-House_20170323172920.mp4,Action
Robinson Crusoe on Mars,Robinson Crusoe on Mars,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2256.jpg,Robinson Crusoe on Mars,http://5.135.130.33:8800/vid.php?h=QUN6ZUd3eHg2NVNJTU1LTmVpcnZKSkxmTS9wK3k3ZkZ3WEZkT3hWcENmVytXamx4NHljYnVTdk9qb3NlYlhQeE1nemhVWG94V2JHUzFTSWRxM2FXOVE9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=2d95f50b008d3bbccda2d93969e899bc7980c5f417c4&v=english_Robinson-Crusoe-on-Mars_20170323173110.mp4,Action
Romeo Is Bleeding,Romeo Is Bleeding,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2257.jpg,Romeo Is Bleeding,http://5.135.130.33:8800/vid.php?h=UTM1aUFMcU1rVHF0cHI4WGwzNlJETjRNbUNyM3NXN05CYjROV1UyRmVtZWFudm1IaU16bVQ1Q2lldEtEdDg2MVpMc0RDWWV4UTZtakRTMFlZYVpCSXc9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=541e37c21725eba17a3042a015dd753663d92aac162f&v=english_Romeo-Is-Bleeding_20170323173258.mp4,Action
Rupture,Rupture,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2258.jpg,Rupture,http://5.135.130.33:8800/vid.php?h=OUZKSWpzNzI4alZUNE1OTlJuZHk4RjlrOXlZWjFST3hzYitrQlpyVGtCWEN3dktiTUlXcUVUVFJJS08rYk5zaS8xL2hkdU5rd1dkRFRBUVczRWdLeGc9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=f216fcc124403352317b2067e7dbc0efeea44c649296&v=english_Rupture_20170323173428.mp4,Action
Sacrifice,Sacrifice,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2259.jpg,Sacrifice,http://5.135.130.33:8800/vid.php?h=c3FOejY5bFVUbHpYd0xEb3lkWDVEQmFzQklEMG9IeFRYeGczRVJRdU0reFJFbFlkWXlrb3NQWTN0MldVWnNnZlEwaXplQllVZGMwNkxaaE51RVdyWWc9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=d17d5b16792e3fff0e7826986278fbed3199c6d172fc&v=english_Sacrifice_20170323173606.mp4,Action
Satanic,Satanic,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2260.jpg,Satanic,http://5.135.130.33:8800/vid.php?h=NWpIK29YaDM1SnBGWWdXaUVZbjJHdDU5Mk1BTWg3S1NSZzkxVzZid2k0eDU3a3FlallpcjRVRmVpZnZ0ektrOE9vTmtjdmI3VHJTN1dtQk51SlZod0E9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=c0d85f5e09e49d50c452957b5c67341e2c30f3339eae&v=english_Satanic_20170323173818.mp4,Action
Sausage Party,Sausage Party,,,2018,http://portal.suptv.me/stalker_portal/screenshots/23/2261.jpg,Sausage Party,http://5.135.130.33:8800/vid.php?h=NGNkWk9MRlFQbnZmcnhsMWJKWFlqYkI3Z3B0ejdyTFl4Q2xZeUpZVzZpOWVvSU9xNllyV3dndXkwdUNtdkZzUHlXRzVPSmljSVBpMnRVRGh3TGtjemc9PQ%3D%3D&t=MTUyMjg3OTY4MA%3D%3D&z=2b331e34cde105d83861a5d9773c7db2203f3dbc1145&v=english_Sausage-Party_20170323174000.mp4,Action
