name,genre_id,logo,url
EUROSPORT 2 esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3834.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/557.ts
ENERGY,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3761.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/558.ts
DIVINITY,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3762.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/559.ts
DISNEY XD esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3838.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/560.ts
DISNEY JR esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3831.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/561.ts
DISNEY CH HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3763.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/562.ts
DISCOVERY,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3764.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/563.ts
CUATRO HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3765.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/564.ts
CRIMEN INVES,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3766.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/565.ts
COSMO HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3767.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/566.ts
COMEDYCENTRALHD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3768.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/567.ts
CLASSICA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3769.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/568.ts
CLAN  TVE,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3771.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/569.ts
CAZAyPESCA HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3770.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/570.ts
CANAL SUR A.,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3773.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/571.ts
CANAL PANDA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3772.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/572.ts
CANAL ODISEA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3774.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/574.ts
CANAL DECASA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3776.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/575.ts
CANAL COCINA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3779.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/576.ts
CALLE 13 HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3777.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/577.ts
BOING,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3775.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/578.ts
BEIN SPORTS esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3832.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/579.ts
BEIN MAX 2,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3778.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/580.ts
BEIN LALIGA,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3780.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/581.ts
BARCA TV esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3833.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/582.ts
BABY TV esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3836.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/583.ts
AXN WHITE HD esp,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3837.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/584.ts
AXN HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3781.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/585.ts
ARAGON TV,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3782.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/586.ts
ANTENA 3 HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3783.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/587.ts
AMC HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3784.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/588.ts
A&E,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3785.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/589.ts
24 HORAS,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3786.png,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/590.ts
0 HD,MOVISTAR,http://portal.suptv.me/stalker_portal/misc/logos/320/3787.jpg,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/591.ts
ALQUILER_1,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/86.ts
ALQUILER_2,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/87.ts
ALQUILER_3,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/88.ts
ALQUILER_4,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/89.ts
ALQUILER_5,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/90.ts
ALQUILER_6,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/91.ts
ALQUILER_7,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/92.ts
ALQUILER_8,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/93.ts
ALQUILER_9,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/94.ts
ALQUILER_10,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/95.ts
ALQUILER_11,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/96.ts
ALQUILER_12,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/97.ts
ALQUILER_13,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/98.ts
ALQUILER_14,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/99.ts
ALQUILER_15,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/100.ts
ALQUILER_16,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/101.ts
ALQUILER_17,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/102.ts
ALQUILER_18,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/103.ts
ALQUILER_19,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/104.ts
ALQUILER_20,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/105.ts
ALQUILER_21,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/106.ts
ALQUILER_22,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/107.ts
ALQUILER_23,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/108.ts
ALQUILER_24,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/109.ts
ALQUILER_25,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/110.ts
ALQUILER_26,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/111.ts
ALQUILER_27,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/112.ts
ALQUILER_28,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/113.ts
ALQUILER_29,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/114.ts
ALQUILER_30,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/115.ts
ALQUILER_31,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/116.ts
ALQUILER_32,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/117.ts
ALQUILER_33,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/118.ts
ALQUILER_34,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/119.ts
ALQUILER_35,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/120.ts
ALQUILER_36,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/121.ts
ALQUILER_37,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/122.ts
ALQUILER_38,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/123.ts
ALQUILER_39,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/124.ts
ALQUILER_40,MOVISTAR,,http://portal.suptv.me/u/get?u=sh&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/125.ts
Watch,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3839.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/358.ts
Universal,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3840.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/359.ts
TV3,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3841.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/354.ts
Skyliving,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3842.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/369.ts
Really,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3846.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/360.ts
Quest,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3843.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/356.ts
Pick Tv,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3844.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/361.ts
Lifetime Uk,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3954.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/362.ts
Eden,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3845.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/365.ts
E4,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3848.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/348.ts
E!! !!,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3847.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/381.ts
DRAMA,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3850.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/350.ts
Dmax,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3851.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/357.ts
DAVE,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3852.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/349.ts
Comedy Central Extraa,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3849.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/372.ts
Channel 5,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3853.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/352.ts
Channel 4,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3857.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/351.ts
CBS Reality,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3855.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/370.ts
5 Star,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3856.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/364.ts
4seven,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3854.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/353.ts
ITV 4,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3858.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/309.ts
ITV 2,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3859.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/307.ts
ITV 1,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3861.jpg,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/306.ts
TLC Uk,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3953.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/248.ts
Sky Two,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3860.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/324.ts
SKY ONE,ENGLISH,http://portal.suptv.me/stalker_portal/misc/logos/320/3862.png,http://portal.suptv.me/u/get?u=uk&s=/live/iprostreams/7B85JCVJcM1o8R9qyH/325.ts
