name,description,director,actors,year,cover,original_name,url,genres_ids
فيلم صنع في مصر,فيلم صنع في مصر,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2795.jpg,فيلم صنع في مصر,http://5.135.130.33:8800/vid.php?h=ZnpQZWhCN3ZHTG50SGJQODBDUEFFazF1eGpXbXFUVGFxMGpnMkZZWXhhcjVFaThTZ0RrelB1OXg5US9YcndPQ3VzcEg5T09CS2NLeFRrZ1BlN21XOGc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=baf3ca7e9f9637149479588a2aa6b7ebcc608c32c9f3&v=arabic2/فيلم-صنع-في-مصر.mp4,Arabic
الدسّاس,الدسّاس,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2796.jpg,الدسّاس,http://5.135.130.33:8800/vid.php?h=L3BMdEdqRXpjTjA3STIvZjVUNW5MQW5qT0t0blErT2lPR3ZCckE1dkdOYk1JSXU1RnRBM0d2UkxUR2MyNWxRU0F0VU1ocGZIWUV5ajFGa1ZhUU44Vmc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=c3f95eb10275a9de6700c23987e417b1543a27243753&v=arabic2/الدسّاس.mp4,Arabic
بتوقيت القاهرة,بتوقيت القاهرة,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2797.jpg,بتوقيت القاهرة,http://5.135.130.33:8800/vid.php?h=TWcxUnNaZzNZVEpSeWxGczJodU9vOHEvSnF5bVZ5YkJSZ1NYU09reU8wYTE2bjJqT0E0RDl2UEdsUlV1OU9GeHJTL0lDQ2xtaGhKVFRyOXdWdUdQZVE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=1ad08a776d82144d013126ab3497a8597e4d348a18c1&v=arabic2/بتوقيت-القاهرة.mp4,Arabic
واحد صعيدي,واحد صعيدي,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2798.jpg,واحد صعيدي,http://5.135.130.33:8800/vid.php?h=ZGlMeFBIOWtZRkM5VENNMElXanJWNURFUVdkZGczSEFVQjVubEdTYTAvakpQVzkwQ1doV3JtWnQyckZYdXJtL3ZKaUtRa2FkNGlDd2F3WHlKY1BVdmc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=8d426850b4c7311cee37f26c3a8e258f4fdfbc1bdd01&v=arabic2/واحد-صعيدي.mp4,Arabic
الحرب العالمية الثالثة,الحرب العالمية الثالثة,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2799.jpg,الحرب العالمية الثالثة,http://5.135.130.33:8800/vid.php?h=QWxoeFBjQTZNb1hIOUs1bzhZRHhWNWRlU29XYWVyejFSeityV3NBbVljWmdBdUtsTGtOZkVsUE9yeEVuM2FBSXhwY0N2N1l0cngxTngySzRsbTFPZXc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=1e6297a2a2c0482cf37e9aa651229ae8c3b832791ce5&v=arabic2/الحرب-العالمية-الثالثة.mp4,Arabic
الآنسة مامي,الآنسة مامي,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2800.jpg,الآنسة مامي,http://5.135.130.33:8800/vid.php?h=SXhHU2V4Q0s1KzluaVBNUCtJTlFoOEdYVjJjdkEzNFBkNnRaN1R0VUxjelR3MTBzZW5BVDEwWWlsT01CeWNML29uejVVOUhTZTRWS01tS1hFTTVkcVE9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=f95dbcd110ec5947f249c3e7caa8a7a8230e302d4822&v=arabic2/الآنسة-مامي.mp4,Arabic
الدنيا مقلوبة,الدنيا مقلوبة,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2801.jpg,الدنيا مقلوبة,http://5.135.130.33:8800/vid.php?h=UTM0WWUwb1ROcnNtUUo4dEhsQVByZnRMdEdQNVBiZGw5QkxiNVNESjEvUzR6Y0Zrb1RzVkM4S2ZPR0lkZzM2RGVXOVprbGpQVkg1MCtoSHF4L0kvamc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=007217c1c8abb6ac02d78fab07e640082e253bee8d5d&v=arabic2/الدنيا-مقلوبة.mp4,Arabic
جيران السعد,جيران السعد,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2802.jpg,جيران السعد,http://5.135.130.33:8800/vid.php?h=MTJSSzdkTm9HL1FoTENjNFY2YjdRbGdYRGNIMVk0ODJMbUc2Vld3SDEwUXBINys2M0p4OWZYb0lPL1MzZDNqTjF4dXh1d01NVk0yYm04UC96N3lwdXc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=9d01a72708ef611049a1eb85088083a821a5cfe353ae&v=arabic2/جيران-السعد.mp4,Arabic
يلا عقبالكن,يلا عقبالكن,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2803.jpg,يلا عقبالكن,http://5.135.130.33:8800/vid.php?h=Z0dyV0RmNkd2VFN4R3pEN0ZWcXlpRkhqbVExTFhmcXFWaWhzemVmQzJCaE9rYVlMWFFhOE81cURBb3B0M1p5c3l2SFhlQVNMOUlUckNQQVc5dFJLaHc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=e3694860d5ba3d4cc72ee88d2f3649649eebb901dbfc&v=arabic2/يلا-عقبالكن.mp4,Arabic
المواطن برص,المواطن برص,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2804.jpg,المواطن برص,http://5.135.130.33:8800/vid.php?h=L0h5SktKMUI1VTdXQUw0S0p5VUpwTW0zVlV4UTJ4VEdTUFppRnZad2ZlVXYyanhUK1dLdGQ1c3d3Kzd6Y3E2a3Jxc2cwZGZybi9qWVdzaEc1dXY0Y2c9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=a5121e7757cfdb809c2377edd519b0ed97a67a658779&v=arabic2/المواطن-برص.mp4,Arabic
ظرف صحّي,ظرف صحّي,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2805.jpg,ظرف صحّي,http://5.135.130.33:8800/vid.php?h=S3FCbXB5ajduWDR2SklhRFBHNGcrMzkwUHc3b3ErSE81TSs5ODdFYWpuUS81S05QTkE0NkZIejFxQndNY2lSN0x6M1doTEJwK2xvQWVGSm9SbU9XVmc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=18a5952e9ec39df95b4a18f29d9a66170204f946a57a&v=arabic2/ظرف-صحّي.mp4,Arabic
عنتر وبيسة,عنتر وبيسة,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2806.jpg,عنتر وبيسة,http://5.135.130.33:8800/vid.php?h=eGdNNGE5OVh3a3pDek1GL2tGdXZFMm51SnRsWTZMekg3bEFCRnY2SDM2UnFRNDFYTUg0d0xVaE5rTGhEbklLekdPRS81K2M5bGNlM2U0SW91Y01sNnc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=2784d1c64fedccb2e93673164c3919bd9df0bd4e11e6&v=arabic2/عنتر-وبيسة.mp4,Arabic
يوم مالوش لازمة,يوم مالوش لازمة,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2807.jpg,يوم مالوش لازمة,http://5.135.130.33:8800/vid.php?h=b0lvd0FZajRzcm9DMXg1T2lnaEY4TjlPeTVPT0hQQ0lnTGUwdFovd1VTNGQ2L0pjMm9KTVdUQnNHaDhqeU9LY296K3ZKVmowWlBDUlVORWFZMWRwU0E9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=6ce09476698923256a7c0e13a485c08d5ffd1247ef0f&v=arabic2/يوم-مالوش-لازمة.mp4,Arabic
لمح البصر,لمح البصر,,,2018,http://portal.suptv.me/stalker_portal/screenshots/29/2808.jpg,لمح البصر,http://5.135.130.33:8800/vid.php?h=bW8zaUFRQlBuaUhQSktNMExGM2JCZnMxc2o1dE1yMFJndUFvOEpELyt4TnR6T3ZaOGwxeTFKSnYzYXlsN3VJOVN5OG9maENZQnJCZmhXRE9PZEl5MXc9PQ%3D%3D&t=MTUyMjkwNTExNA%3D%3D&z=cb0c5d511a557ba3065ad49a2fb091c2d54071171db0&v=arabic2/لمح-البصر.mp4,Arabic
نجمة داوود,نجمة داوود,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2747.jpg,نجمة داوود,http://5.135.130.33:8800/vid.php?h=WjVyOXVkditOY2k4Q0FDRmtaNXVFNG8rdTBHU0VlRUtoYU1Mc294YWdPYkN6ckhtZ25tMGk4bFl0SXpEWmpEbXF2cElyOTFDTS8xVXV6RGpXbWcvcVE9PQ%3D%3D&t=MTUyMjkwNTExMw%3D%3D&z=4944f8570a2d7182bdd2f484a90449d4d00b668893fa&v=arabic2/نجمة-داوود.mp4,Arabic
سالم أبو أخته,سالم أبو أخته,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2748.jpg,سالم أبو أخته,http://5.135.130.33:8800/vid.php?h=TkM3SVJlRmlPNTJKTm4xbUtLSjNNb1d3L0lRQTVnZUpsMFZXOVF6eEhuaExDeFR0Z1l0cmx2eHdjc29xRW1kVFVoNkFXL05LRWF5cnQwSUtiOGZkT1E9PQ%3D%3D&t=MTUyMjkwNTExMw%3D%3D&z=c0bc3fa459f0a52d4dd669b5aef9663b32234fa4cbb9&v=arabic2/سالم-أبو-أخته.mp4,Arabic
المغضوب عليهم,المغضوب عليهم,,,2018,http://portal.suptv.me/stalker_portal/screenshots/28/2749.jpg,المغضوب عليهم,http://5.135.130.33:8800/vid.php?h=WGkxQnVnOE5RMHpJMXI2YzJ2a2NRRUQ3MGtpQ1BlbnNwZnNjVkFaRGd2MWxyanE1VTc5L1ErYlo2MFhKeGUyT2tQR2F1anBucE5aTEFla2o5U3Q5UkE9PQ%3D%3D&t=MTUyMjkwNTExMw%3D%3D&z=4c54bd9cb85a5724780f5311d02813e81a8e598bd33f&v=arabic2/المغضوب-عليهم.mp4,Arabic
